promo_id,promo_name,promo_type,promo_value,start_date,end_date,target_segment,city_scope,ab_test_groups,test_allocation,success_metric,promo_duration_days
P000,Peak Hour Pass,surge_waiver,1.0,2025-04-26,2025-05-25,All,Nairobi,['All'],[1.0],Usage Frequency,29
P001,Peak Hour Pass,surge_waiver,1.0,2025-04-26,2025-05-22,All,Cairo,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",Conversion Rate,26
P002,Peak Hour Pass,surge_waiver,1.0,2025-04-26,2025-05-16,All,Cairo,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",ROI,20
P003,Loyalty Bonus,points,100.0,2025-04-26,2025-05-04,Gold+,Nairobi,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",Conversion Rate,8
P004,Loyalty Bonus,points,100.0,2025-04-26,2025-05-15,Gold+,Nairobi,['All'],[1.0],Usage Frequency,19
P005,Loyalty Bonus,points,100.0,2025-04-26,2025-05-16,Gold+,Nairobi,['All'],[1.0],Usage Frequency,20
P006,First Ride Discount,discount,0.3,2025-04-26,2025-05-06,New,Lagos,['All'],[1.0],Usage Frequency,10
P007,First Ride Discount,discount,0.3,2025-04-26,2025-05-26,New,Nairobi,['All'],[1.0],ROI,30
P008,Referral Special,credit,15.0,2025-04-26,2025-05-03,Active,All-Cities,['All'],[1.0],Usage Frequency,7
P009,Referral Special,credit,15.0,2025-04-26,2025-05-18,Active,Cairo,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",ROI,22
P010,First Ride Discount,discount,0.3,2025-04-26,2025-05-05,New,All-Cities,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",Conversion Rate,9
P011,Peak Hour Pass,surge_waiver,1.0,2025-04-26,2025-05-24,All,Nairobi,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",ROI,28
P012,Loyalty Bonus,points,100.0,2025-04-26,2025-05-09,Gold+,All-Cities,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",ROI,13
P013,First Ride Discount,discount,0.3,2025-04-26,2025-05-09,New,All-Cities,['All'],[1.0],ROI,13
P014,First Ride Discount,discount,0.3,2025-04-26,2025-05-19,New,Lagos,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",ROI,23
P015,Peak Hour Pass,surge_waiver,1.0,2025-04-26,2025-05-17,All,All-Cities,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",ROI,21
P016,Loyalty Bonus,points,100.0,2025-04-26,2025-05-06,Gold+,Lagos,['All'],[1.0],Usage Frequency,10
P017,First Ride Discount,discount,0.3,2025-04-26,2025-05-06,New,Lagos,['All'],[1.0],ROI,10
P018,First Ride Discount,discount,0.3,2025-04-26,2025-05-13,New,Cairo,"['Control', 'Variant A', 'Variant B']","[0.3, 0.4, 0.3]",ROI,17
P019,First Ride Discount,discount,0.3,2025-04-26,2025-05-08,New,Lagos,['All'],[1.0],Conversion Rate,12
